Date;PM10;SO2;CO;O3;NO2;Max;Critical Component;Category
08/02/2020;22;1;2;0;0;22;PM10;Baik
08/03/2020;17;1;11;5;0;17;PM10;Baik
08/04/2020;24;1;9;0;0;24;PM10;Baik
08/05/2020;26;1;11;3;0;26;PM10;Baik
08/06/2020;26;1;23;25;0;26;PM10;Baik
08/07/2020;17;1;37;57;0;57;O3;Sedang
08/08/2020;20;1;12;49;0;49;O3;Baik
08/09/2020;39;0;20;37;0;39;PM10;Baik
08/10/2020;45;0;30;0;0;45;PM10;Baik
08/11/2020;39;1;38;6;0;39;PM10;Baik
08/12/2020;17;1;23;11;0;23;CO;Baik
8/13/2020;17;1;51;9;0;51;CO;Sedang
8/14/2020;20;1;11;0;0;20;PM10;Baik
8/15/2020;19;4;18;15;0;19;PM10;Baik
8/16/2020;19;0;11;6;0;19;PM10;Baik
8/17/2020;14;0;10;10;0;14;PM10;Baik
8/18/2020;16;0;13;11;0;16;PM10;Baik
8/19/2020;15;0;14;14;0;15;PM10;Baik
8/20/2020;19;0;17;16;0;19;PM10;Baik
8/21/2020;22;0;18;19;0;22;PM10;Baik
8/22/2020;35;0;20;22;0;35;PM10;Baik
8/23/2020;37;0;16;22;0;37;PM10;Baik
8/24/2020;17;0;9;20;0;20;O3;Baik
8/25/2020;23;0;17;22;0;23;PM10;Baik
8/26/2020;13;0;8;22;0;22;O3;Baik
8/27/2020;21;1;22;27;0;27;O3;Baik
8/28/2020;21;0;11;23;0;23;O3;Baik
8/29/2020;16;0;3;21;0;21;O3;Baik
8/30/2020;20;0;14;27;0;27;O3;Baik
8/31/2020;20;0;13;30;0;30;O3;Baik
09/01/2020;21;0;15;24;0;24;O3;Baik
09/02/2020;14;0;11;20;0;20;O3;Baik
09/03/2020;12;0;10;17;0;17;O3;Baik
09/04/2020;14;0;19;17;0;19;CO;Baik
09/05/2020;23;0;16;13;0;23;PM10;Baik
09/06/2020;12;0;8;16;0;16;O3;Baik
09/07/2020;13;0;10;15;0;15;O3;Baik
09/08/2020;19;0;18;16;0;19;PM10;Baik
09/09/2020;27;0;21;21;0;27;PM10;Baik
09/10/2020;26;0;19;18;0;26;PM10;Baik
09/11/2020;20;0;11;19;0;20;PM10;Baik
09/12/2020;18;0;20;21;0;21;O3;Baik
9/13/2020;13;0;12;20;0;20;O3;Baik
9/14/2020;20;0;16;19;0;20;PM10;Baik
9/15/2020;14;0;13;19;0;19;O3;Baik
9/16/2020;14;0;11;18;0;18;O3;Baik
9/17/2020;21;0;22;24;0;24;O3;Baik
9/18/2020;20;0;20;24;0;24;O3;Baik
9/19/2020;23;0;20;23;0;23;PM10,O3;Baik
9/20/2020;23;0;12;20;0;23;PM10;Baik
9/21/2020;13;0;6;15;0;15;O3;Baik
9/22/2020;14;0;17;13;0;17;CO;Baik
9/23/2020;13;0;29;20;0;29;CO;Baik
9/24/2020;13;0;10;11;0;13;PM10;Baik
9/25/2020;15;1;10;13;0;15;PM10;Baik
9/26/2020;10;0;6;12;0;12;O3;Baik
9/27/2020;10;0;2;11;0;11;O3;Baik
9/28/2020;11;0;6;14;0;14;O3;Baik
9/29/2020;13;0;7;14;0;14;O3;Baik
9/30/2020;14;0;9;17;0;17;O3;Baik
10/01/2020;13;0;7;18;0;18;O3;Baik
10/02/2020;15;0;12;16;0;16;O3;Baik
10/03/2020;11;0;8;14;0;14;O3;Baik
10/04/2020;10;0;10;16;0;16;O3;Baik
10/05/2020;11;0;9;18;0;18;O3;Baik
10/06/2020;13;0;15;20;0;20;O3;Baik
10/07/2020;15;0;10;28;0;28;O3;Baik
10/08/2020;16;0;10;23;0;23;O3;Baik
10/09/2020;14;0;11;22;0;22;O3;Baik
10/10/2020;14;0;11;17;0;17;O3;Baik
10/11/2020;20;0;28;14;0;28;CO;Baik
10/12/2020;13;0;18;17;0;18;CO;Baik
10/13/2020;14;0;16;14;0;16;CO;Baik
10/14/2020;19;0;17;16;0;19;PM10;Baik
10/15/2020;17;0;11;16;0;17;PM10;Baik
10/16/2020;14;0;11;15;0;15;O3;Baik
10/17/2020;15;0;13;17;0;17;O3;Baik
10/18/2020;16;0;12;13;0;16;PM10;Baik
10/19/2020;17;0;17;20;0;20;O3;Baik
10/20/2020;22;0;39;20;0;39;CO;Baik
10/21/2020;15;0;14;19;0;19;O3;Baik
10/22/2020;27;0;51;22;0;51;CO;Sedang
10/23/2020;17;0;20;16;0;20;CO;Baik
10/24/2020;17;0;22;13;0;22;CO;Baik
10/25/2020;14;0;20;11;0;20;CO;Baik
10/26/2020;8;0;20;16;0;20;CO;Baik
10/27/2020;7;0;27;13;0;27;CO;Baik
10/28/2020;22;5;40;14;0;40;CO;Baik
10/29/2020;16;1;25;6;0;25;CO;Baik
10/30/2020;24;0;20;11;0;24;PM10;Baik
10/31/2020;23;0;25;23;0;25;CO;Baik
11/01/2020;19;0;23;33;0;33;O3;Baik
11/02/2020;7;0;19;20;0;20;O3;Baik
11/03/2020;10;0;21;19;0;21;CO;Baik
11/04/2020;15;5;28;30;0;30;O3;Baik
11/05/2020;17;0;21;27;0;27;O3;Baik
11/06/2020;13;0;21;25;0;25;O3;Baik
11/07/2020;11;0;18;25;0;25;O3;Baik
11/08/2020;16;0;19;24;0;24;O3;Baik
11/09/2020;16;0;18;21;0;21;O3;Baik
11/10/2020;12;0;18;22;0;22;O3;Baik
11/11/2020;12;0;18;22;0;22;O3;Baik
11/12/2020;19;0;20;21;0;21;O3;Baik
11/13/2020;26;0;20;26;0;26;PM10,O3;Baik
11/14/2020;14;0;20;34;0;34;O3;Baik
11/15/2020;21;0;24;36;0;36;O3;Baik
11/16/2020;11;0;21;30;0;30;O3;Baik
11/17/2020;10;0;16;29;0;29;O3;Baik
11/18/2020;10;0;17;31;0;31;O3;Baik
11/19/2020;14;0;18;31;0;31;O3;Baik
11/20/2020;11;0;21;35;0;35;O3;Baik
11/21/2020;20;0;21;31;0;31;O3;Baik
11/22/2020;14;0;22;27;0;27;O3;Baik
11/23/2020;14;0;20;25;0;25;O3;Baik
11/24/2020;11;0;20;28;0;28;O3;Baik
11/25/2020;12;0;19;34;0;34;O3;Baik
11/26/2020;20;6;36;37;0;37;O3;Baik
11/27/2020;12;1;20;29;0;29;O3;Baik
11/28/2020;19;0;20;28;0;28;O3;Baik
11/29/2020;6;0;19;26;0;26;O3;Baik
11/30/2020;8;0;21;28;0;28;O3;Baik
12/01/2020;18;0;23;26;0;26;O3;Baik
12/02/2020;11;0;22;31;0;31;O3;Baik
12/03/2020;17;0;24;38;0;38;O3;Baik
12/04/2020;13;0;22;44;0;44;O3;Baik
12/05/2020;22;0;27;0;0;27;CO;Baik
12/06/2020;22;0;27;0;0;27;CO;Baik
12/07/2020;22;0;27;0;0;27;CO;Baik
12/08/2020;22;0;27;0;0;27;CO;Baik
12/09/2020;22;0;27;0;0;27;CO;Baik
12/10/2020;22;0;27;0;0;27;CO;Baik
12/11/2020;21;0;28;74;0;74;O3;Sedang
12/12/2020;9;0;19;55;0;55;O3;Sedang
12/13/2020;10;1;19;63;0;63;O3;Sedang
12/14/2020;8;0;19;59;0;59;O3;Sedang
12/15/2020;13;2;22;51;0;51;O3;Sedang
12/16/2020;11;0;18;61;0;61;O3;Sedang
12/17/2020;8;0;16;61;0;61;O3;Sedang
12/18/2020;7;0;19;74;0;74;O3;Sedang
12/19/2020;8;1;19;68;0;68;O3;Sedang
12/20/2020;8;0;16;78;0;78;O3;Sedang
12/21/2020;14;1;16;71;0;71;O3;Sedang
12/22/2020;26;0;16;81;0;81;O3;Sedang
12/23/2020;17;0;16;16;0;17;PM10;Baik
12/24/2020;22;4;20;13;0;22;PM10;Baik
12/25/2020;18;2;16;5;0;18;PM10;Baik
12/26/2020;15;2;18;1;0;18;CO;Baik
12/27/2020;12;1;24;0;0;24;CO;Baik
12/28/2020;9;0;16;2;0;16;CO;Baik
12/29/2020;9;0;15;20;0;20;O3;Baik
12/30/2020;6;0;17;10;0;17;CO;Baik
12/31/2020;5;0;17;20;0;20;O3;Baik
