pm10,pm2.5,so2,co,o3,no2,category
13,25,5,10,20,6,Baik
16,31,1,9,3,5,Baik
19,36,1,10,9,5,Baik
16,30,3,9,23,6,Baik
10,20,2,5,20,6,Baik
12,24,0,6,3,5,Baik
18,31,1,12,9,5,Baik
20,36,5,10,23,7,Baik
19,35,2,8,20,7,Baik
22,40,0,9,3,6,Baik
20,37,0,8,6,7,Baik
14,25,1,8,17,7,Baik
11,21,0,5,2,5,Baik
15,27,0,6,0,5,Baik
18,33,0,7,3,4,Baik
15,27,1,7,12,4,Baik
16,29,8,7,34,3,Baik
10,19,22,4,63,4,Sedang
10,20,24,6,68,5,Sedang
15,27,4,9,13,4,Baik
9,17,3,6,19,4,Baik
8,15,6,8,35,6,Baik
12,22,1,7,9,5,Baik
12,23,0,5,6,4,Baik
12,23,8,5,35,4,Baik
12,22,21,5,52,5,Sedang
13,24,6,6,12,4,Baik
10,19,4,5,19,4,Baik
10,20,3,5,15,4,Baik
14,26,11,7,38,5,Baik
14,27,7,7,25,4,Baik
16,29,18,9,56,5,Sedang
21,37,21,8,59,6,Sedang
20,33,15,13,18,7,Baik
19,32,1,9,7,4,Baik
14,24,0,8,2,4,Baik
11,20,0,6,0,3,Baik
10,19,0,6,3,5,Baik
11,20,0,5,4,5,Baik
12,21,0,7,5,5,Baik
13,23,0,7,0,4,Baik
13,22,0,9,0,4,Baik
13,23,0,15,9,6,Baik
14,24,0,12,1,4,Baik
16,29,0,16,0,0,Baik
16,29,0,16,0,0,Baik
16,28,0,17,0,1,Baik
20,34,0,25,0,6,Baik
14,24,0,15,0,7,Baik
14,22,0,15,0,6,Baik
14,23,0,12,0,5,Baik
16,26,0,11,0,5,Baik
15,26,0,10,1,7,Baik
16,27,0,17,1,9,Baik
12,21,13,8,12,5,Baik
7,14,20,5,25,5,Baik
4,10,4,14,55,3,Sedang
8,17,0,21,71,5,Sedang
3,6,1,26,61,5,Sedang
8,15,10,19,34,4,Baik
7,14,7,19,32,3,Baik
11,20,3,23,29,2,Baik
8,15,0,21,39,2,Baik
8,17,0,19,41,2,Baik
9,17,0,19,40,2,Baik
18,37,13,15,13,5,Baik
18,36,13,24,23,2,Baik
32,52,0,21,25,2,Sedang
18,33,9,25,17,1,Baik
11,22,43,20,22,1,Baik
10,22,41,16,35,1,Baik
9,20,32,15,44,1,Baik
7,16,41,20,35,1,Baik
8,17,46,21,27,1,Baik
15,29,48,23,23,1,Baik
42,51,29,20,31,0,Sedang
18,29,22,16,43,0,Baik
