date;pm10;pm2.5;so2;co;o3;no2;max;critical component;category
02/09/2022;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
02/10/2022;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
02/11/2022;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
02/12/2022;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
02/13/2022;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
02/14/2022;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
02/15/2022;5;11;0;38;NaN;27;38;CO;Baik
02/16/2022;5;11;1;38;NaN;26;38;CO;Baik
02/17/2022;10;23;14;22;24;7;24;O3;Baik
02/18/2022;9;34;22;22;21;3;34;PM2.5;Baik
02/19/2022;10;46;18;21;22;2;46;PM2.5;Baik
02/20/2022;12;54;23;24;20;4;54;PM2.5;Sedang
02/21/2022;9;45;23;22;19;4;45;PM2.5;Baik
02/22/2022;10;48;18;21;21;2;48;PM2.5;Baik
02/23/2022;11;51;24;24;15;2;51;PM2.5;Sedang
02/24/2022;7;31;12;17;21;2;31;PM2.5;Baik
02/25/2022;6;24;11;16;24;2;24;O3;Baik
02/26/2022;5;18;12;17;25;2;25;O3;Baik
02/27/2022;7;26;15;19;23;2;26;PM2.5;Baik
02/28/2022;10;39;17;20;19;2;39;PM2.5;Baik
03/01/2022;7;29;15;17;18;2;29;PM2.5;Baik
03/02/2022;5;19;9;14;22;2;22;O3;Baik
03/03/2022;4;13;10;16;23;2;23;O3;Baik
03/04/2022;5;19;16;19;20;2;20;O3;Baik
03/05/2022;7;29;16;21;16;2;29;PM2.5;Baik
03/06/2022;5;17;13;17;17;2;17;PM2.5;Baik
03/07/2022;3;11;15;17;17;2;17;O3;Baik
03/08/2022;5;21;24;22;11;2;24;SO2;Baik
03/09/2022;5;21;19;20;13;2;21;PM2.5;Baik
03/10/2022;4;13;17;19;16;2;19;CO;Baik
03/11/2022;5;19;20;22;15;2;22;CO;Baik
